"iso3c","year","povertyrate","gdppc","ghgpc"
"AGO",2019,32.1984329223633,6712.0215,1.23
"AGO",2022,34.8,5982.6362,1.07979929447174
"ALB",2019,0,13653.201,1.47
"ALB",2022,0,15135.454,1.57184767723083
"ARE",2019,0,68263.672,21.34
"ARE",2022,0,64748.125,19.1306285858154
"ARG",2019,0.784006953239441,22066.102,4.19
"ARG",2022,0.2,22153.6,4.2652473449707
"ARM",2019,1.03006982803345,13653.764,2.32
"ARM",2022,0.2,14245.527,2.32404899597168
"AUS",2019,0.497093975543976,49309.113,16.96
"AUS",2022,0.2,50751.832,16.2017707824707
"AUT",2019,0.640638887882233,55833.559,7.31
"AUT",2022,0.4,56196.965,6.83268785476685
"AZE",2019,0,14442.041,4.17
"AZE",2022,0,14774.443,4.20395278930664
"BDI",2019,73.5583190917969,751.44342,0.06
"BDI",2022,75.1,723.99628,0.0609785206615925
"BEL",2019,0.0785524621605873,51937.422,8.01
"BEL",2022,0,52407.617,7.54582834243774
"BEN",2019,19.1891059875488,3287.3096,0.67
"BEN",2022,16.8,3546.5745,0.781617224216461
"BFA",2019,30.0612163543701,2175.5046,0.29
"BFA",2022,29.1,2256.1477,0.335361063480377
"BGD",2019,6.82278871536255,5550.0327,0.63
"BGD",2022,4.3,6371.2017,0.726649403572083
"BGR",2019,0.923633694648743,23265.877,5.7
"BGR",2022,0,24502.66,5.71115064620972
"BIH",2019,0.0589865036308765,14896.797,6.66
"BIH",2022,0,16054.765,6.96662998199463
"BLR",2019,0,19279.209,6.07
"BLR",2022,0,18456.955,5.59028148651123
"BLZ",2019,19.5569286346436,7152.6572,1.88
"BLZ",2022,8.9,6390.1982,1.90474593639374
"BOL",2019,1.92053520679474,8724.4746,2.33
"BOL",2022,0,8418.1494,2.44510078430176
"BRA",2019,5.38858079910278,14736.156,2.13
"BRA",2022,0.2,14931.098,2.31760263442993
"BTN",2019,0.367339372634888,11864.767,0.91
"BTN",2022,0.3,10403.953,1.11732232570648
"BWA",2019,13.4785766601562,16404.445,3.25
"BWA",2022,12.5,16338.321,3.27834153175354
"CAF",2019,67.6411056518555,946.05963,0.05
"CAF",2022,67.8,924.46185,0.0555712655186653
"CAN",2019,0.24701064825058,49171.512,16.98
"CAN",2022,0,48821.758,16.3212985992432
"CHE",2019,0.0305039808154106,70944.352,4.29
"CHE",2022,0,71813.633,3.9435384273529
"CHL",2019,0.576022684574127,24931.121,4.91
"CHL",2022,0.3,26073.881,4.96973896026611
"CIV",2019,10.695930480957,5212.5542,0.51
"CIV",2022,9.3,5559.5054,0.542923748493195
"CMR",2019,22.7405853271484,3742.8567,0.53
"CMR",2022,22.7,3747.3022,0.539720416069031
"COD",2019,62.2787132263184,1097.9489,0.11
"COD",2022,60.9,1140.3514,0.0991435199975967
"COG",2019,50.7516212463379,3825.7014,2.6
"COG",2022,53.8,3350.5747,2.17686486244202
"COL",2019,5.2847375869751,14571.991,1.83
"COL",2022,4,15645.351,1.88019752502441
"COM",2019,18.105037689209,3058.9802,0.38
"COM",2022,18.3,2969.6956,0.401287972927094
"CPV",2019,2.87116169929504,7171.8267,1.17
"CPV",2022,3.1,6574.8203,1.03810667991638
"CRI",2019,1.05713951587677,20970.545,1.53
"CRI",2022,0.5,21850.871,1.55504357814789
"CYP",2019,0.153831779956818,41521.922,5.41
"CYP",2022,0.1,41835.715,5.35128784179688
"CZE",2019,0,40981.055,9.38
"CZE",2022,0,40414.977,8.60394859313965
"DEU",2019,0,53929.641,7.92
"DEU",2022,0,53687.926,7.77890586853027
"DJI",2019,16.9656848907471,5260.0151,0.36
"DJI",2022,15.9,5509.1509,0.356059610843658
"DNK",2019,0.25140717625618,57161.688,5.2
"DNK",2022,0.1,59243.727,4.67233467102051
"DOM",2019,0.832686603069305,18412.9,2.4
"DOM",2022,0.1,19725.08,2.33058929443359
"DZA",2019,0.327319324016571,11521.984,5.47
"DZA",2022,0.3,11310.65,5.52235698699951
"ECU",2019,3.58358407020569,11370.604,2.56
"ECU",2022,0.7,10766.604,2.39764976501465
"EGY",2019,2.343670129776,11763.253,2.6
"EGY",2022,1.9,12668.383,2.72092604637146
"ESP",2019,0.793813407421112,40802.488,5.01
"ESP",2022,0.4,39575.688,4.86719417572021
"EST",2019,0.556940317153931,36401.109,7.74
"EST",2022,0.2,38590.156,8.94478988647461
"ETH",2019,17.8326930999756,2221.4048,0.25
"ETH",2022,18.1,2418.5815,0.248897925019264
"FIN",2019,0.0388292297720909,48582.586,7.58
"FIN",2022,0,49950.613,6.88478088378906
"FJI",2019,1.10642600059509,13684.292,1.77
"FJI",2022,1.3,12286.372,1.81795191764831
"FRA",2019,0.0211680550128222,46017.766,4.5
"FRA",2022,0,46197.5,4.49162101745605
"FSM",2019,16.0284385681152,3465.1199,1.54
"FSM",2022,17.9,3200.2192,1.80929470062256
"GAB",2019,2.49094271659851,14945.859,4.69
"GAB",2022,2.7,14406.475,4.03372001647949
"GBR",2019,0.298055440187454,47368.586,5.3
"GBR",2022,0.1,47319.289,4.58584499359131
"GEO",2019,4.84862852096558,14989.258,2.8
"GEO",2022,4.1,16907.604,3.42625021934509
"GHA",2019,22.2136268615723,5540.0454,0.68
"GHA",2022,20.7,5700.7573,0.704784572124481
"GIN",2019,13.426438331604,2566.323,0.31
"GIN",2022,13.8,2674.4724,0.290150284767151
"GMB",2019,10.3128871917725,2226.344,0.25
"GMB",2022,9.6,2259.365,0.268756598234177
"GNB",2019,21.0627765655518,1939.2896,0.17
"GNB",2022,20.7,1900.4485,0.173823460936546
"GRC",2019,0.689551711082458,29698.031,5.44
"GRC",2022,0.2,31085.83,5.36716461181641
"GTM",2019,6.98926687240601,8653.3086,1.25
"GTM",2022,0.9,9012.2793,1.40696167945862
"GUY",2019,6.07830429077148,13082.182,3.53
"GUY",2022,2.2,35069.848,7.4442663192749
"HND",2019,12.7429914474487,5736.1816,1.04
"HND",2022,2.5,5783.3306,1.01795530319214
"HRV",2019,0.259925842285156,29336.086,3.96
"HRV",2022,0.1,33103.805,4.0133867263794
"HTI",2019,25.5555953979492,3073.3291,0.36
"HTI",2022,27.7,2775.3884,0.345090985298157
"HUN",2019,0.301702469587326,32553.695,4.82
"HUN",2022,0.1,35441.09,4.86116123199463
"IDN",2019,4.3805742263794,11812.103,2.4
"IDN",2022,3.3,12255.068,2.21707248687744
"IND",2019,9.47398662567139,6689.3652,1.77
"IND",2022,9.4,7065.1436,1.84391033649445
"IRL",2019,0.0039213858544827,86650.008,6.98
"IRL",2022,0.1,110333.28,7.15788650512695
"IRN",2019,1.02470242977142,14903.52,9.38
"IRN",2022,0.3,15839.881,10.1634120941162
"IRQ",2019,0.0238770935684443,10889.803,7.39
"IRQ",2022,0,10090.511,7.64765644073486
"ISL",2019,0,56935.773,4.64
"ISL",2022,0,55325.652,4.60028886795044
"ISR",2019,0.496766239404678,40626.215,6.88
"ISR",2022,0,43410.016,6.26365852355957
"ITA",2019,1.45764684677124,42746.297,5.36
"ITA",2022,1,43275.324,5.00787353515625
"JAM",2019,1.17724597454071,9777.0059,2.78
"JAM",2022,1.2,9372.0215,2.62905812263489
"JOR",2019,0.031020849943161,10071.38,2.34
"JOR",2022,0,10176.942,2.40476083755493
"JPN",2019,0.727887868881226,41697.41,8.47
"JPN",2022,0,41592.52,8.22617435455322
"KAZ",2019,0.0151407914236188,26351.805,12.71
"KAZ",2022,0,26369.434,10.5544204711914
"KEN",2019,25.1839179992676,4459.2104,0.46
"KEN",2022,23,4711.021,0.475490927696228
"KGZ",2019,0.659063696861267,5258.3667,1.5
"KGZ",2022,1.4,4894.8604,1.58760917186737
"KIR",2019,1.79725050926208,2102.782,0.74
"KIR",2022,2.1,2038.9081,0.79119861125946
"KOR",2019,0.226665139198303,42758.59,11.47
"KOR",2022,0,45353.664,11.6764764785767
"LAO",2019,6.61532211303711,7886.6528,2.48
"LAO",2022,6.3,7959.7915,2.99296832084656
"LBN",2019,0,14493.372,3.78
"LBR",2019,31.3936080932617,1469.7639,0.21
"LBR",2022,31.6,1431.4384,0.242634728550911
"LCA",2019,4.74651432037354,15200.872,2.93
"LCA",2022,2.3,13864.692,2.94760632514954
"LKA",2019,0.857691764831543,13079.539,1.11
"LKA",2022,1.2,11616.817,1.0264288187027
"LSO",2019,33.7475662231445,2656.116,0.36
"LSO",2022,34.6,2463.6807,0.350185692310333
"LTU",2019,0.547929644584656,37166.211,4.25
"LTU",2022,0.2,39257.738,4.02059650421143
"LUX",2019,0.101187467575073,116518.27,15.01
"LUX",2022,0,118963.42,12.5907125473022
"LVA",2019,0.2391007989645,31012.135,3.93
"LVA",2022,0.1,32556.67,3.69773578643799
"MAR",2019,0.923188328742981,7546.7549,1.84
"MAR",2022,1,7396.7798,1.71819305419922
"MDA",2019,0.0286451391875744,13026.516,3.5
"MDA",2022,0,14491.962,3.40216684341431
"MDG",2019,78.996711730957,1618.5326,0.21
"MDG",2022,81.5,1509.51,0.220151245594025
"MDV",2019,0,19510.492,3.97
"MDV",2022,0,17747.783,4.5829119682312
"MEX",2019,2.70349216461182,19675.441,3.64
"MEX",2022,0.3,18773.934,3.28053140640259
"MHL",2019,0.854344367980957,4048.0886,3.05
"MHL",2022,0.8,3831.4502,1.10639643669128
"MKD",2019,3.32377815246582,16773.041,4.02
"MKD",2022,0.9,16907.254,3.25580978393555
"MLT",2019,0.304681777954102,45396.73,3.33
"MLT",2022,0,46697.199,3.08904600143433
"MMR",2019,1.1635969877243,4739.7104,0.73
"MMR",2022,2.2,4007.7925,0.731516897678375
"MNE",2019,2.55550909042358,21533.932,4.6
"MNE",2022,0.4,22033.475,4.11414051055908
"MNG",2019,0.494517087936401,12486.077,7.54
"MNG",2022,0.7,11822.483,7.02994918823242
"MOZ",2019,63.1835746765137,1281.78,0.36
"MOZ",2022,64.4,1233.3179,0.441924422979355
"MRT",2019,5.15021133422852,5343.998,0.95
"MRT",2022,5.5,5178.7256,0.966540277004242
"MUS",2019,0.0823232159018517,22869.756,3.34
"MUS",2022,0.2,21525.213,3.26356744766235
"MWI",2019,69.0565948486328,1537.1412,0.09
"MWI",2022,69.3,1481.0979,0.0791030377149582
"MYS",2019,0.0069610481150448,28421.463,7.98
"MYS",2022,0,28059.688,7.42507123947144
"NAM",2019,17.4683952331543,9809.2188,1.58
"NAM",2022,18.9,9027.9814,1.49691367149353
